RecordNo,Q43,Q46,Q17,Zip,Q37
48,1,2,3,23455,1
51,1,2,2,23435,1
72,2,2,3,23322,1
92,2,2,2,23702,3
95,1,2,2,23510,1
131,3,2,2,23518,2
141,2,2,2,23608,2
146,1,2,2,23510,1
147,2,1,1,23606,2
162,2,2,5,23505,2
183,2,2,2,23451,1
192,1,2,2,23452,1
194,1,2,4,23464,2
195,2,2,3,23434,1
197,1,2,4,23707,2
198,2,2,1,23454,1
203,1,2,1,23663,2
222,1,2,3,23452,1
231,1,2,1,23435,1
234,1,2,2,23454,2
261,2,2,2,23455,2
268,1,2,2,23464,1
281,1,2,3,23323,2
288,2,2,3,23455,1
315,1,2,2,23320,2
335,2,2,2,23462,2
345,1,2,3,23503,1
356,1,2,3,23320,1
357,1,2,3,23664,1
359,3,2,5,23452,3
363,2,2,3,23321,0
380,1,2,3,23437,4
386,2,2,2,23454,1
388,1,2,1,23464,2
397,1,2,2,23322,1
399,1,2,3,23435,1
435,1,2,3,23505,1
441,2,2,3,23464,1
453,2,2,2,23601,3
462,1,2,3,23435,2
472,2,2,3,23703,2
485,3,2,3,23320,2
490,3,2,5,23666,3
496,2,2,2,23666,2
505,2,2,4,23464,2
507,2,2,3,23322,2
510,2,2,2,23455,2
530,1,2,2,23434,2
536,1,2,2,23452,1
554,1,2,2,23692,1
560,1,2,2,23462,1
567,1,2,4,23322,1
579,1,2,3,23510,1
581,2,2,4,23517,2
584,3,2,4,23456,2
609,2,2,2,23608,3
628,2,2,1,23233,1
635,2,2,5,23454,1
655,2,2,1,23325,2
656,2,1,5,23510,3
681,2,2,2,23435,2
699,2,1,3,23452,2
740,3,2,2,23185,2
765,3,2,3,23661,3
770,3,2,2,23435,3
794,2,2,2,23669,1
801,1,2,3,23456,2
806,2,2,4,23320,2
811,1,2,3,23669,2
813,2,2,2,23321,1
814,1,2,3,23322,1
818,1,2,2,23322,1
832,2,2,3,23454,1
843,3,2,2,23666,4
861,1,2,3,23323,1
869,2,2,2,23701,3
880,2,2,3,23502,1
899,2,2,1,23666,3
909,2,2,2,23456,1
924,1,2,5,23703,2
932,2,2,1,23704,2
937,2,2,5,23464,2
939,2,2,3,23322,2
946,2,2,3,23606,2
961,1,2,2,23504,1
965,1,2,2,23322,2
967,2,2,1,23703,1
981,4,2,2,23322,1
984,2,2,2,23606,2
"1,004",1,2,2,23322,2
"1,006",2,2,3,23462,3
"1,020",2,2,2,23434,2
"1,026",2,2,2,23322,1
"1,033",2,2,2,23451,1
"1,035",1,2,1,23454,1
"1,041",1,2,5,23663,1
"1,065",1,2,2,23602,1
"1,089",1,2,5,23453,1
"1,098",3,2,2,23320,1
"1,100",88,2,2,23464,2
"1,155",1,1,3,23455,1
"1,164",2,2,3,23452,2
"1,165",2,2,2,23701,1
"1,179",3,2,3,23505,2
"1,192",1,2,2,23665,2
"1,203",2,2,2,23669,1
"1,213",2,2,2,23503,3
"1,223",3,2,1,23462,2
"1,231",1,2,1,23602,2
"1,235",1,2,3,23503,2
"1,254",2,2,3,23322,1
"1,261",1,2,2,23663,1
"1,263",3,2,2,23602,2
"1,275",2,2,2,23503,2
"1,278",2,2,3,23663,2
"1,282",2,2,3,23504,2
"1,290",2,2,3,23455,1
"1,327",1,2,3,23464,1
"1,338",1,2,1,23454,1
"1,346",1,2,3,23454,1
"1,372",2,2,1,23607,3
"1,375",1,2,3,23703,1
"1,401",2,2,3,23703,2
"1,449",3,2,3,23606,3
"1,453",1,2,3,23321,2
"1,454",1,2,1,23502,2
"1,455",1,2,1,23435,1
"1,467",2,2,1,23320,3
"1,483",2,2,2,23452,1
"1,488",2,2,2,23462,3
"1,495",1,2,1,23661,1
"1,502",2,2,2,23464,1
"1,513",3,2,2,23518,2
"1,518",3,2,2,23666,3
"1,529",2,2,3,23456,2
"1,544",2,2,2,23320,2
"1,556",1,2,2,23608,1
"1,575",1,2,1,23454,1
"1,586",2,2,2,23664,2
"1,624",3,2,2,23663,2
"1,630",1,2,2,23608,1
"1,646",2,2,3,23454,2
"1,653",2,2,2,23692,2
"1,656",2,2,1,23322,2
"1,664",1,2,1,23320,2
"1,669",2,2,5,23508,1
"1,685",2,2,2,23518,2
"1,687",1,2,2,23455,1
"1,688",1,2,3,23322,1
"1,707",1,2,3,23451,1
"1,719",2,2,1,23454,1
"1,771",1,2,3,23435,1
"1,792",1,2,2,23456,1
"1,793",1,2,3,23703,2
"1,797",1,2,3,23453,1
"1,810",2,2,3,23321,2
"1,819",2,2,2,23323,2
"1,824",2,2,2,23701,2
"1,840",2,2,3,23607,4
"1,844",1,2,3,23322,1
"1,849",3,2,1,23502,2
"1,858",2,2,1,23464,2
"1,870",2,2,2,23435,2
"1,889",2,2,2,23703,2
"1,890",1,2,2,23322,1
"1,891",1,2,2,23602,1
"1,898",2,2,1,23320,2
"1,972",1,2,3,23464,3
"1,985",1,2,2,23454,1
"1,988",1,2,2,23321,1
"2,001",2,2,3,23452,2
"2,002",1,2,4,23602,1
"2,033",2,2,2,23513,2
"2,035",1,2,3,23505,2
"2,046",1,2,2,23518,3
"2,050",1,2,1,23321,1
"2,055",2,2,2,23505,1
"2,068",1,2,3,23669,2
"2,079",88,2,3,23321,1
"2,090",1,2,3,23452,1
"2,100",1,2,3,23434,1
"2,113",2,2,3,23321,1
"2,128",2,2,2,23503,1
"2,138",1,2,1,23505,1
"2,142",2,2,2,23661,2
"2,144",1,2,2,23454,1
"2,163",88,2,2,23507,1
"2,184",2,2,2,23454,2
"2,190",1,2,3,23507,1
"2,192",1,2,3,23452,1
"2,202",1,2,3,23454,1
"2,208",2,2,3,23508,2
"2,213",1,2,2,23704,2
"2,217",3,2,2,23661,2
"2,228",1,2,1,23322,2
"2,239",2,2,2,23703,2
"2,249",1,2,3,23455,1
"2,256",2,1,2,23702,2
"2,264",4,2,1,23504,2
"2,276",1,2,1,23320,1
"2,278",1,2,2,23321,1
"2,283",1,2,5,23452,1
"2,298",1,2,3,23435,1
"2,305",1,2,1,23452,2
"2,307",2,2,2,23601,1
"2,326",2,2,1,23320,2
"2,329",88,2,2,23451,1
"2,358",2,2,3,23605,2
"2,361",1,2,3,23513,2
"2,366",1,1,1,23692,1
"2,371",2,2,3,23322,2
"2,395",1,1,2,23456,1
"2,396",1,2,5,23503,2
"2,414",2,2,2,23456,1
"2,423",2,2,4,23435,2
"2,429",2,2,2,23464,1
"2,448",2,2,2,23321,2
"2,456",1,2,2,23507,1
"2,467",2,2,3,23320,1
"2,475",2,2,2,23322,1
"2,477",1,2,2,23502,2
"2,481",2,2,2,23452,1
"2,495",1,2,3,23513,2
"2,510",2,2,3,23703,2
"2,514",1,2,1,23454,1
"2,536",2,2,2,23324,2
"2,540",1,2,2,23323,1
"2,547",3,2,1,23602,3
"2,558",2,2,2,23323,1
"2,567",4,2,2,23456,1
"2,568",1,2,4,23518,1
"2,569",2,2,3,23606,2
"2,584",1,2,3,23324,2
"2,585",1,2,1,23452,2
"2,586",2,2,3,23523,3
"2,631",4,2,2,23322,2
"2,648",1,2,5,23320,1
"2,651",1,2,2,23702,1
"2,657",1,2,2,23669,2
"2,658",2,2,2,23608,2
"2,665",1,2,4,23455,1
"2,671",2,2,1,23608,1
"2,674",1,2,1,23454,1
"2,688",2,2,2,23435,1
"2,706",1,2,2,23513,2
"2,714",1,2,2,23320,1
"2,718",2,2,3,23320,2
"2,730",2,2,2,23456,2
"2,739",2,2,2,23601,1
"2,752",1,2,3,23703,1
"2,763",2,2,4,23456,1
"2,773",2,2,2,23323,2
"2,810",1,2,3,23692,2
"2,818",3,2,2,23462,3
"2,845",1,2,3,23503,2
"2,852",1,2,3,23322,1
"2,872",1,2,2,23320,2
"2,875",1,1,3,23562,2
"2,876",2,2,2,23455,1
"2,891",2,2,1,23323,1
"2,899",1,2,3,23666,2
"2,914",2,2,1,23451,1
"2,915",2,2,3,23321,2
"2,918",2,2,1,23606,1
"2,933",2,1,1,23435,1
"2,937",2,2,2,23320,1
"2,939",2,2,2,23669,1
"2,991",1,2,3,23462,1
"3,013",1,2,2,23323,1
"3,015",2,2,2,23701,2
"3,061",2,2,3,23454,2
"3,082",3,2,3,23661,3
"3,088",2,2,2,23323,2
"3,092",2,2,3,23323,1
"3,095",2,2,2,23434,2
"3,113",1,2,2,23322,1
"3,115",1,2,4,23608,1
"3,123",1,2,3,23434,2
"3,124",1,2,3,23505,1
"3,138",1,2,3,23464,2
"3,143",2,2,3,23464,2
"3,145",2,2,4,23606,1
"3,157",1,2,1,23435,1
"3,170",2,1,3,23666,2
"3,177",1,2,3,23323,3
"3,187",1,2,5,23602,1
"3,202",1,2,4,23701,3
"3,207",1,2,2,23456,1
"3,214",1,2,4,23666,1
"3,217",1,2,1,23608,2
"3,233",2,2,3,23703,1
"3,235",2,2,3,23693,1
"3,243",2,2,3,23502,1
"3,260",2,2,2,23454,1
"3,262",2,2,3,23454,1
"3,266",2,2,3,23464,1
"3,292",1,2,3,23666,1
"3,297",1,2,4,23322,1
"3,302",1,2,1,23434,2
"3,306",1,2,2,23324,2
"3,329",2,2,5,23505,1
"3,348",1,2,3,23464,1
"3,354",88,2,2,23320,2
"3,356",2,2,2,23703,2
"3,373",2,2,2,23608,2
"3,382",2,2,2,23510,2
"3,393",2,2,2,23451,1
"3,395",1,2,2,23602,2
"3,404",3,2,3,23455,1
"3,409",1,2,4,23456,2
"3,416",1,2,2,23464,2
"3,417",2,2,2,23456,2
"3,442",1,2,4,23454,1
"3,452",2,2,2,23434,2
"3,493",1,2,2,23322,2
"3,508",1,2,1,23669,1
"3,515",2,2,3,23320,2
"3,518",2,2,2,23320,1
"3,522",1,2,3,23508,2
"3,554",2,2,1,23704,2
"3,571",1,2,2,23601,3
"3,573",1,2,2,23651,1
"3,586",1,2,2,23435,1
"3,587",2,2,3,23601,2
"3,590",2,2,2,23666,2
"3,644",3,2,3,23601,2
"3,648",3,2,3,23502,2
"3,657",1,2,2,23322,1
"3,660",1,2,2,23322,2
"3,682",1,2,3,23320,2
"3,687",1,2,5,23322,2
"3,695",1,2,2,23321,1
"3,696",2,2,1,23669,1
"3,698",3,2,3,23462,2
"3,699",1,2,3,23452,1
"3,711",1,2,3,23452,1
"3,713",2,2,4,23464,1
"3,716",2,2,2,23452,1
"3,724",3,2,2,23324,2
"3,725",1,2,2,23503,2
"3,735",2,2,1,23454,2
"3,742",1,2,2,23704,1
"3,743",2,2,3,23454,1
"3,755",1,2,2,23513,1
"3,761",1,2,3,23453,2
"3,763",1,2,3,23322,1
"3,796",2,2,3,23669,2
"3,805",1,2,3,23666,1
"3,827",2,2,5,23607,2
"3,831",2,2,2,23703,2
"3,835",2,2,2,23518,1
"3,842",2,2,2,23323,1
"3,850",1,2,2,23456,1
"3,857",2,2,2,23503,1
"3,860",2,2,3,23669,1
"3,867",2,2,2,23703,2
"3,872",1,2,2,23693,1
"3,874",2,1,2,23701,3
"3,877",2,2,4,23666,2
"3,880",1,2,2,23435,1
"3,885",3,2,3,23454,1
"3,894",2,1,3,23435,1
"3,909",2,2,2,23666,2
"3,916",1,2,5,23464,1
"3,919",1,2,2,23707,1
"3,937",2,2,2,23605,3
"3,942",2,2,2,23503,1
"3,955",2,2,3,23701,2
"3,966",1,2,2,23320,1
"4,005",2,2,2,23703,1
"4,006",1,2,1,23456,1
"4,024",1,2,2,23666,2
"4,046",2,2,3,23455,2
"4,047",1,1,3,23322,2
"4,048",2,2,3,23434,2
"4,078",1,2,3,23464,1
"4,084",2,2,2,23504,2
"4,085",1,2,2,23503,2
"4,098",88,2,1,23601,1
"4,103",1,2,2,23434,1
"4,118",2,2,2,23605,2
"4,119",1,2,2,23505,1
"4,126",1,2,4,23606,2
"4,139",2,2,3,23434,3
"4,151",2,2,2,23523,2
"4,157",2,2,3,23669,2
"4,164",2,2,3,23321,2
"4,170",1,2,4,23703,1
"4,179",1,2,1,23321,1
"4,180",1,2,1,23661,2
"4,193",2,2,1,23434,1
"4,195",1,2,3,23454,2
"4,205",1,2,3,23456,1
"4,225",2,1,2,23451,2
"4,232",2,2,2,23456,1
"4,235",1,2,4,23322,2
"4,243",1,2,4,23503,1
"4,249",2,2,2,23321,1
"4,263",1,2,3,23320,2
"4,287",2,2,2,23322,1
"4,302",1,2,5,23669,1
"4,315",2,2,2,23320,3
"4,328",1,2,4,23322,1
"4,345",1,2,2,23455,1
"4,350",2,2,2,23703,3
"4,358",1,2,5,23323,2
"4,387",1,2,3,23504,1
"4,396",2,2,2,23456,1
"4,409",2,2,2,23464,2
"4,412",1,2,2,23435,1
"4,427",1,2,88,23324,1
"4,436",1,2,3,23434,1
"4,456",2,2,1,23701,2
"4,462",1,2,3,23503,2
"4,482",1,2,1,23503,2
"4,493",3,2,1,23601,4
"4,496",2,2,2,23320,2
"4,503",1,2,3,23462,2
"4,509",1,2,1,23454,1
"4,518",1,2,2,23508,2
"4,532",2,2,4,23456,1
"4,544",1,2,3,23456,1
"4,581",2,2,3,23690,2
"4,587",1,2,2,23321,1
"4,590",2,2,3,23664,1
"4,605",2,2,3,23323,1
"4,639",4,2,2,23505,2
"4,646",2,2,2,23322,1
"4,655",2,2,2,23451,2
"4,658",1,2,3,23452,1
"4,662",1,2,2,23323,1
"4,677",2,2,4,23511,1
"4,703",1,2,2,23452,1
"4,704",1,2,3,23504,1
"4,705",2,2,3,23434,1
"4,729",1,2,2,23455,2
"4,731",2,2,2,23502,3
"4,747",2,2,3,23452,2
"4,757",2,2,3,23462,2
"4,800",2,2,2,23456,2
"4,802",1,2,3,23322,1
"4,816",1,2,1,23464,2
"4,817",1,2,3,23322,2
"4,866",1,2,2,23452,1
"4,874",2,2,5,23320,1
"4,881",2,2,2,23320,1
"4,895",2,2,2,23452,1
"4,905",2,2,1,23323,2
"4,912",2,2,1,23508,2
"4,920",1,2,2,23664,1
"4,942",2,2,3,23464,2
"4,962",1,2,3,23451,1
"4,965",2,2,2,23454,1
"4,975",2,2,3,23434,2
"4,992",3,2,2,23454,1
"4,994",3,2,3,23605,3
"5,003",1,2,1,23703,1
"5,005",1,2,3,23434,1
"5,012",2,2,3,23434,2
"5,048",1,2,4,23664,2
"5,068",1,2,3,23464,1
"5,069",1,2,1,23434,2
"5,103",2,2,2,23321,2
"5,106",1,2,3,23320,2
"5,107",1,2,3,23666,2
"5,112",1,2,2,23454,1
"5,131",2,2,3,23462,1
"5,132",2,2,3,23518,1
"5,150",1,2,3,23322,2
"5,168",1,2,3,23435,1
"5,191",1,2,3,23323,1
"5,244",2,2,2,23703,2
"5,268",2,2,4,23666,2
"5,278",2,2,2,23320,1
"5,279",1,2,2,23666,1
"5,293",1,2,4,23456,2
"5,306",2,2,3,23602,2
"5,315",2,2,88,23601,1
"5,319",2,2,3,23602,1
"5,328",1,2,1,23425,1
"5,338",2,2,1,23464,4
"5,350",1,2,88,23505,1
"5,354",1,1,3,23502,2
"5,365",3,2,4,23320,1
"5,366",3,2,3,23507,2
"5,394",2,2,3,23523,3
"5,398",3,2,2,23523,2
"5,412",1,2,5,23505,1
"5,436",2,2,2,23434,2
"5,445",1,1,1,23323,1
"5,451",2,2,3,23453,1
