RecordNo,Q43,Q46,Q17,Zip
48,1,2,3,23455
51,1,2,2,23435
72,2,2,3,23322
92,2,2,2,23702
95,1,2,2,23510
131,3,2,2,23518
141,2,2,2,23608
146,1,2,2,23510
147,2,1,1,23606
162,2,2,5,23505
183,2,2,2,23451
192,1,2,2,23452
194,1,2,4,23464
195,2,2,3,23434
197,1,2,4,23707
198,2,2,1,23454
203,1,2,1,23663
222,1,2,3,23452
231,1,2,1,23435
234,1,2,2,23454
261,2,2,2,23455
268,1,2,2,23464
281,1,2,3,23323
288,2,2,3,23455
315,1,2,2,23320
335,2,2,2,23462
345,1,2,3,23503
356,1,2,3,23320
357,1,2,3,23664
359,3,2,5,23452
363,2,2,3,23321
380,1,2,3,23437
386,2,2,2,23454
388,1,2,1,23464
397,1,2,2,23322
399,1,2,3,23435
435,1,2,3,23505
441,2,2,3,23464
453,2,2,2,23601
462,1,2,3,23435
472,2,2,3,23703
485,3,2,3,23320
490,3,2,5,23666
496,2,2,2,23666
505,2,2,4,23464
507,2,2,3,23322
510,2,2,2,23455
530,1,2,2,23434
536,1,2,2,23452
554,1,2,2,23692
560,1,2,2,23462
567,1,2,4,23322
579,1,2,3,23510
581,2,2,4,23517
584,3,2,4,23456
609,2,2,2,23608
628,2,2,1,23233
635,2,2,5,23454
655,2,2,1,23325
656,2,1,5,23510
681,2,2,2,23435
699,2,1,3,23452
740,3,2,2,23185
765,3,2,3,23661
770,3,2,2,23435
794,2,2,2,23669
801,1,2,3,23456
806,2,2,4,23320
811,1,2,3,23669
813,2,2,2,23321
814,1,2,3,23322
818,1,2,2,23322
832,2,2,3,23454
843,3,2,2,23666
861,1,2,3,23323
869,2,2,2,23701
880,2,2,3,23502
899,2,2,1,23666
909,2,2,2,23456
924,1,2,5,23703
932,2,2,1,23704
937,2,2,5,23464
939,2,2,3,23322
946,2,2,3,23606
961,1,2,2,23504
965,1,2,2,23322
967,2,2,1,23703
981,4,2,2,23322
984,2,2,2,23606
"1,004",1,2,2,23322
"1,006",2,2,3,23462
"1,020",2,2,2,23434
"1,026",2,2,2,23322
"1,033",2,2,2,23451
"1,035",1,2,1,23454
"1,041",1,2,5,23663
"1,065",1,2,2,23602
"1,089",1,2,5,23453
"1,098",3,2,2,23320
"1,100",88,2,2,23464
"1,155",1,1,3,23455
"1,164",2,2,3,23452
"1,165",2,2,2,23701
"1,179",3,2,3,23505
"1,192",1,2,2,23665
"1,203",2,2,2,23669
"1,213",2,2,2,23503
"1,223",3,2,1,23462
"1,231",1,2,1,23602
"1,235",1,2,3,23503
"1,254",2,2,3,23322
"1,261",1,2,2,23663
"1,263",3,2,2,23602
"1,275",2,2,2,23503
"1,278",2,2,3,23663
"1,282",2,2,3,23504
"1,290",2,2,3,23455
"1,327",1,2,3,23464
"1,338",1,2,1,23454
"1,346",1,2,3,23454
"1,372",2,2,1,23607
"1,375",1,2,3,23703
"1,401",2,2,3,23703
"1,449",3,2,3,23606
"1,453",1,2,3,23321
"1,454",1,2,1,23502
"1,455",1,2,1,23435
"1,467",2,2,1,23320
"1,483",2,2,2,23452
"1,488",2,2,2,23462
"1,495",1,2,1,23661
"1,502",2,2,2,23464
"1,513",3,2,2,23518
"1,518",3,2,2,23666
"1,529",2,2,3,23456
"1,544",2,2,2,23320
"1,556",1,2,2,23608
"1,575",1,2,1,23454
"1,586",2,2,2,23664
"1,624",3,2,2,23663
"1,630",1,2,2,23608
"1,646",2,2,3,23454
"1,653",2,2,2,23692
"1,656",2,2,1,23322
"1,664",1,2,1,23320
"1,669",2,2,5,23508
"1,685",2,2,2,23518
"1,687",1,2,2,23455
"1,688",1,2,3,23322
"1,707",1,2,3,23451
"1,719",2,2,1,23454
"1,771",1,2,3,23435
"1,792",1,2,2,23456
"1,793",1,2,3,23703
"1,797",1,2,3,23453
"1,810",2,2,3,23321
"1,819",2,2,2,23323
"1,824",2,2,2,23701
"1,840",2,2,3,23607
"1,844",1,2,3,23322
"1,849",3,2,1,23502
"1,858",2,2,1,23464
"1,870",2,2,2,23435
"1,889",2,2,2,23703
"1,890",1,2,2,23322
"1,891",1,2,2,23602
"1,898",2,2,1,23320
"1,972",1,2,3,23464
"1,985",1,2,2,23454
"1,988",1,2,2,23321
"2,001",2,2,3,23452
"2,002",1,2,4,23602
"2,033",2,2,2,23513
"2,035",1,2,3,23505
"2,046",1,2,2,23518
"2,050",1,2,1,23321
"2,055",2,2,2,23505
"2,068",1,2,3,23669
"2,079",88,2,3,23321
"2,090",1,2,3,23452
"2,100",1,2,3,23434
"2,113",2,2,3,23321
"2,128",2,2,2,23503
"2,138",1,2,1,23505
"2,142",2,2,2,23661
