User_ZIP,FIPS
23455,Virginia Beach
23435,Suffolk
23322,Chesapeake
23702,Portsmouth
23510,Norfolk
23518,Norfolk
23608,Newport News
23606,Newport News
23505,Norfolk
23451,Virginia Beach
23452,Virginia Beach
23464,Virginia Beach
23434,Suffolk
23707,Portsmouth
23454,Virginia Beach
23663,Hampton
23323,Chesapeake
23320,Chesapeake
23462,Virginia Beach
23503,Norfolk
23664,Hampton
23321,Chesapeake
23437,Suffolk
23601,Newport News
23703,Portsmouth
23666,Hampton
23692,Newport News
23517,Norfolk
23456,Virginia Beach
23233,Chesapeake
23325,Chesapeake
23185,Newport News
23661,Hampton
23669,Hampton
23701,Portsmouth
23502,Norfolk
23704,Portsmouth
23504,Norfolk
23602,Newport News
23453,Virginia Beach
23665,Hampton
23607,Newport News
23508,Norfolk
23513,Norfolk
23507,Norfolk
23605,Newport News
23324,Chesapeake
23523,Norfolk
23562,Virginia Beach
23693,Newport News
23651,Hampton
23690,Newport News
23511,Norfolk
23425,Portsmouth
23509,Norfolk
23436,Suffolk
23591,Norfolk
23603,Newport News
